Process Group (2021),Process Group (2024),Process 2024,Process 2021,Tested on,Batch or Continuous,Product1,Product2,P Recovery Efficiency,Uncertainty,TAN Removal or Recovery Efficiency,Uncertainty,Energy Consumption (MJ/kg N),Uncertainty,Energy Consumption (kwh/kg N),Uncertainty,
BES [4],,MEC,,dilute urine,,,,,,31,59,4.9,1,1.4,0.3,52
BES + membrane stripping [5],,MEC & TMCS,,dilute urine,,,,,,49,6,9,2.4,2.5,0.7,53
BES + ED [6],,NSMEC,,dilute urine,fed-batch,,,,,61,,6.5,,1.8,0.0,54
BES + air stripping [7],,BES + air stripping,,dilute urine,,,,,,51,0.5,21.7,6.4,6.0,1.8,55
BES + ED [6],,MEC / ED,,dilute urine,,,,,,49.5,1.8,8.6,,2.4,0.0,56
ED-DD [8],,ED-DD,,synthetic urine,,,,,,87,,14.2,,3.9,0.0,57
,,,,synthetic urine,,,,,,83,,11.7,,3.3,0.0,
,,,,synthetic urine,,,,,,68,,10.1,,2.8,0.0,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,
"EC stands for electrochemical cell, ES is electrochemical system, HRES is hydrogen-recycling electrochemical system, 
TMCS is transmembrane chemisorption, MEC is microbial electrolysis cell, BES is bioelectrochemical system, 
NSMEC is nutrient-separating microbial electrolysis cell, ED is electrodialysis, and DD is Donnan dialysis.",,,,,,,,,,,,,,,,
